"Date","Source Files","Statements","Lines","Comment Lines","Documentation Lines","Data Files","Data Bytes","User","Note"
15-Mar-2013 23:19,5,226,549,54,10,5,43836,"morgan",""
16-Mar-2013 20:24,5,224,540,50,10,6,46968,"morgan",""
29-Mar-2013 14:53,3,300,783,141,40,7,245198,"morgan",""
22-May-2013 23:31,3,300,767,112,22,7,249467,"morgan",""
28-Jul-2013 19:12,3,300,767,112,22,7,263008,"morgan",""
05-Aug-2013 19:24,3,278,707,94,23,7,282071,"morgan",""
06-Aug-2013 20:37,3,278,706,92,23,8,288466,"morgan",""
19-Aug-2013 18:14,3,278,698,92,23,8,290874,"morgan",""
21-Sep-2013 20:22,3,275,695,92,23,8,290707,"morgan",""
02-Sep-2014 13:46,3,268,688,91,23,5,273358,"michaelmara",26,1,""
